user_id,group_name,group,perk
23557,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
94883,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
101486,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
101961,Other Frequent Travelers,6,No Cancellation Fees
106907,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
118043,Big Spenders,2,1 Night Free (with Flight Booking)
120851,Luxury Lovers,5,Free Hotel Meal
125845,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
133058,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
149058,Big Spenders,2,1 Night Free (with Flight Booking)
152583,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
153982,Other Frequent Travelers,6,No Cancellation Fees
160754,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
164522,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
167852,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
171470,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
174997,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
175032,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
181157,Big Spenders,2,1 Night Free (with Flight Booking)
182191,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
187212,Other Frequent Travelers,6,No Cancellation Fees
189676,Luxury Lovers,5,Free Hotel Meal
190866,Big Spenders,2,1 Night Free (with Flight Booking)
195192,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
204943,Big Spenders,2,1 Night Free (with Flight Booking)
204997,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
205044,Big Spenders,2,1 Night Free (with Flight Booking)
206011,Other Frequent Travelers,6,No Cancellation Fees
216796,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
217114,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
217136,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
220725,Other Frequent Travelers,6,No Cancellation Fees
224996,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
226367,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
228195,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
228872,Luxury Lovers,5,Free Hotel Meal
229009,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
229108,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
229330,Big Spenders,2,1 Night Free (with Flight Booking)
232647,Luxury Lovers,5,Free Hotel Meal
249521,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
252835,Other Frequent Travelers,6,No Cancellation Fees
258451,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
